L;Transfer_cnt;English transcription;Russian Cyrillic;Transfer;Opened;Type
1;1;Bulvar Rokossovskogo;Бульвар Рокоссовского;<>;01.08.1990;column, triple-span
1;1;Cherkizovskaya;Черкизовская;{};01.08.1990;single-vault, shallow
1;;Preobrazhenskaya Ploshchad;Преображенская площадь;;31.12.1965;column, triple-span
1;;Sokolniki;Сокольники;;15.05.1935;column, triple-span
1;;Krasnoselskaya;Красносельская;;15.05.1935;column, double-span
1;1;Komsomolskaya;Комсомольская;;15.05.1935;column, triple-span
1;;Krasnye Vorota;Красные ворота;;15.05.1935;pylon, triple-vault
1;2;Chistyye Prudy;Чистые пруды;;15.05.1935;pylon, triple-vault
1;1;Lubyanka;Лубянка;;15.05.1935;pylon, triple-vault
1;2;Okhotny Ryad;Охотный ряд; ();15.05.1935;pylon, triple-vault
1;3;Biblioteka Imeni Lenina;Библиотека имени Ленина;  ;15.05.1935;single-vault, shallow
1;;Kropotkinskaya;Кропоткинская;;15.05.1935;column, triple-span
1;1;Park Kultury;Парк культуры;;15.05.1935;column, triple-span
1;;Frunzenskaya;Фрунзенская;;01.05.1957;pylon, triple-vault
1;1;Sportivnaya;Спортивная;<>;01.05.1957;pylon, triple-vault
1;;Vorobyovy Gory;Воробьёвы горы;;12.01.1959;within bridge
1;;Universitet;Университет;;12.01.1959;pylon, triple-vault
1;;Prospekt Vernadskogo;Проспект Вернадского;;30.12.1963;column, triple-span
1;;Yugo-Zapadnaya;Юго-Западная;;30.12.1963;column, triple-span
1;;Troparyovo;Тропарёво;;08.12.2014;single-vault, shallow
1;;Rumyantsevo;Румянцево;;18.01.2016;column, triple-span
1;;Salaryevo;Саларьево;;15.02.2016;column, triple-span
1;;Filatov Lug;Филатов Луг;;20.06.2019;
1;;Prokshino;Прокшино;;20.06.2019;
1;;Olkhovaya;Ольховая;;20.06.2019;
1;;Kommunarka;Коммунарка;;20.06.2019;
2;;Khovrino;Ховрино;;31.12.2017;column, double-span
2;;Belomorskaya;Беломорская;;20.12.2018;column, double-span
2;;Rechnoy Vokzal;Речной вокзал;;31.12.1964;column, triple-span
2;;Vodny Stadion;Водный стадион;;31.12.1964;column, triple-span
2;1;Voykovskaya;Войковская;<>;31.12.1964;column, triple-span
2;;Sokol;Сокол;;11.09.1938;column, double-span
2;;Aeroport;Аэропорт;;11.09.1938;single-vault, shallow
2;1;Dinamo;Динамо;;11.09.1938;pylon, triple-vault
2;1;Belorusskaya;Белорусская;;11.09.1938;pylon, triple-vault
2;;Mayakovskaya;Маяковская;;11.09.1938;column, triple-vault
2;2;Tverskaya;Тверская;;20.07.1979;pylon, triple-vault
2;2;Teatralnaya;Театральная;;11.09.1938;pylon, triple-vault
2;2;Novokuznetskaya;Новокузнецкая;;20.11.1943;pylon, triple-vault
2;1;Paveletskaya;Павелецкая;;20.11.1943;column, triple-vault
2;1;Avtozavodskaya;Автозаводская;<>;01.01.1943;column, triple-span
2;;Tekhnopark;Технопарк;;28.12.2015;surface, open
2;;Kolomenskaya;Коломенская;;11.08.1969;column, triple-span
2;;Kashirskaya;Каширская;;11.08.1969;column, triple-span
2;;Kantemirovskaya;Кантемировская;;30.12.1984;single-vault, shallow
2;;Tsaritsyno;Царицыно;;30.12.1984;column, triple-span
2;;Orekhovo;Орехово;;30.12.1984;column, triple-span
2;;Domodedovskaya;Домодедовская;;07.09.1985;column, triple-span
2;1;Krasnogvardeyskaya;Красногвардейская;;07.09.1985;single-vault, shallow
2;;Alma-Atinskaya;Алма-Атинская;;24.12.2012;single-vault, shallow
